sample_id	source_path	domain	condition	split	class_label	class_folder_id	direction_id	block_id	frame_index	has_saturation	n_saturated_px	is_fully_saturated	duplicate_group_id	md5
spad000501	data/SPAD_Electronics/0_HZ/1/direction_1/photo0.png	static	0_HZ	static_train	inductor	1	1		0	False	0	False		718fcedacf141f1ba9ddc8508a0bc81b
spad039839	data/SPAD_Electronics/0_HZ/1/direction_1/photo18.png	static	0_HZ	static_train	inductor	1	1		18	False	0	False		7e82f21f34254e215625b4c1af679021
spad013179	data/SPAD_Electronics/0_HZ/1/direction_1/photo71.png	static	0_HZ	static_train	inductor	1	1		71	False	0	False		f210a52a6f8fd7195b32a6617a9a7c68
spad004580	data/SPAD_Electronics/0_HZ/1/direction_2/photo47.png	static	0_HZ	static_train	inductor	1	2		47	False	0	False		6ff46709bb464cefae18c9fba107e0ee
spad025902	data/SPAD_Electronics/0_HZ/1/direction_3/photo16.png	static	0_HZ	static_train	inductor	1	3		16	False	0	False		82902dd475813e3aa1dddd8c66ac2f82
spad042136	data/SPAD_Electronics/0_HZ/2/direction_1/photo0.png	static	0_HZ	static_train	resistor	2	1		0	False	0	False		6d41037008f9aeaba205f37f82bc769d
spad005411	data/SPAD_Electronics/0_HZ/2/direction_1/photo22.png	static	0_HZ	static_train	resistor	2	1		22	False	0	False		05c89feb607ed0074e5b66826478e3ab
spad016028	data/SPAD_Electronics/0_HZ/2/direction_2/photo103.png	static	0_HZ	static_train	resistor	2	2		103	False	0	False		a472a4c6205f88e0722f8f4473d5e143
spad020258	data/SPAD_Electronics/0_HZ/2/direction_2/photo57.png	static	0_HZ	static_train	resistor	2	2		57	False	0	False		fe0c88726d7e43aec15887cdd53662fa
spad029532	data/SPAD_Electronics/0_HZ/2/direction_3/photo17.png	static	0_HZ	static_train	resistor	2	3		17	False	0	False		c5ca667f8214d23fa2783cdddfa6d2c7
spad008034	data/SPAD_Electronics/0_HZ/3/direction_1/photo0.png	static	0_HZ	static_train	LED	3	1		0	False	0	False		9f659088a5dd5119944ebf800313788e
spad045824	data/SPAD_Electronics/0_HZ/3/direction_1/photo28.png	static	0_HZ	static_train	LED	3	1		28	True	204800	False		393beaf36f45eb334358637e7b09df91
spad021973	data/SPAD_Electronics/0_HZ/3/direction_2/photo113.png	static	0_HZ	static_train	LED	3	2		113	False	0	False		f3640c578109b75116cae25603c1acc7
spad044851	data/SPAD_Electronics/0_HZ/3/direction_2/photo67.png	static	0_HZ	static_train	LED	3	2		67	False	0	False		75c8d7b6b464222381d31a71874af18f
spad015576	data/SPAD_Electronics/0_HZ/3/direction_3/photo152.png	static	0_HZ	static_train	LED	3	3		152	False	0	False		acf7cde8a2be3efe9bab951c6e73d8af
spad011776	data/SPAD_Electronics/0_HZ/4/direction_1/photo0.png	static	0_HZ	static_train	film_capacitor	4	1		0	False	0	False		ab982382deca6cdb5a822c631ae0142e
spad003140	data/SPAD_Electronics/0_HZ/4/direction_1/photo197.png	static	0_HZ	static_train	film_capacitor	4	1		197	False	0	False		da5f77369d553e491c6c5ce646a1c3c9
spad041507	data/SPAD_Electronics/0_HZ/4/direction_2/photo101.png	static	0_HZ	static_train	film_capacitor	4	2		101	False	0	False		979d01d42ac4a28b6719b31e8cc93d03
spad027569	data/SPAD_Electronics/0_HZ/4/direction_2/photo71.png	static	0_HZ	static_train	film_capacitor	4	2		71	False	0	False		6881dbc8d2c99b587c893239eaf0f386
spad014825	data/SPAD_Electronics/0_HZ/4/direction_3/photo201.png	static	0_HZ	static_train	film_capacitor	4	3		201	False	0	False		bf7bc3f953e1166dfce1af7cfd4688a1
spad039222	data/SPAD_Electronics/0_HZ/5/direction_1/photo0.png	static	0_HZ	static_train	tactile_switch	5	1		0	False	0	False		926cd8dac46cee3627053c7bb34816fb
spad012378	data/SPAD_Electronics/0_HZ/5/direction_1/photo56.png	static	0_HZ	static_train	tactile_switch	5	1		56	False	0	False		5683f55ef0756b8f5d2eea87ef24b374
spad007311	data/SPAD_Electronics/0_HZ/5/direction_2/photo141.png	static	0_HZ	static_train	tactile_switch	5	2		141	False	0	False		658190516dbb7ab02fa6ad7f802dc8f0
